COMUNA,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS
1101,0,0,15,0
1101,*,*,54,10
1101,*,0,28,*
1101,*,7,49,*
1101,*,*,26,7
1101,18,17,116,9
1101,*,*,14,*
1101,39,47,334,36
1101,18,26,144,15
1101,8,17,93,14
1101,0,4,18,12
1101,8,5,36,5
1101,0,0,0,0
1101,*,10,45,*
1101,0,0,0,0
1101,0,0,0,0
1101,42,35,275,49
1101,31,32,230,14
1101,*,*,27,10
1101,5,7,78,4
1101,0,6,15,0
1101,*,*,57,17
1101,0,0,23,5
1101,20,23,82,10
1101,*,4,28,*
1101,70,129,409,24
1101,26,63,274,45
1101,5,8,71,10
1101,*,61,170,*
1101,*,6,73,*
1101,4,6,59,8
1101,*,9,22,*
1101,*,13,45,*
1101,16,34,172,15
1101,5,7,52,8
1101,10,12,77,9
1101,12,19,84,21
1101,8,9,79,14
1101,9,8,53,12
1101,*,*,10,0
1101,7,12,34,9
1101,8,11,60,16
1101,5,13,61,10
1101,16,13,133,8
1101,7,6,79,14
1101,*,*,11,6
1101,13,22,119,25
1101,6,13,72,14
1101,7,6,55,13
1101,10,*,52,*
1101,14,26,111,5
1101,14,28,94,16
1101,6,16,81,15
1101,5,9,53,7
1101,*,*,42,19
1101,*,12,27,*
1101,*,*,13,0
1101,5,6,84,14
1101,5,12,47,7
1101,29,24,185,25
1101,*,14,92,*
1101,12,19,58,9
1101,5,11,64,7
1101,*,*,20,7
1101,6,12,51,6
1101,7,*,*,11
1101,4,6,67,22
1101,11,11,82,14
1101,10,10,58,15
1101,0,0,0,0
1101,*,*,52,21
1101,18,16,111,15
1101,8,14,75,20
1101,15,15,125,17
1101,4,13,70,11
1101,21,16,120,13
1101,26,39,165,18
1101,8,17,69,10
1101,16,18,86,20
1101,16,27,131,14
1101,4,10,66,7
1101,14,19,128,25
1101,10,25,85,15
1101,29,44,249,43
1101,16,13,68,12
1101,0,0,*,*
1101,16,14,100,15
1101,16,26,108,18
1101,15,19,91,15
1101,38,48,234,26
1101,10,18,79,16
1101,17,27,141,29
1101,8,15,88,25
1101,12,20,82,24
1101,8,17,50,19
1101,4,*,36,*
1101,4,9,45,11
1101,6,7,58,21
1101,18,18,122,27
1101,21,24,123,28
1101,11,23,105,16
1101,10,13,78,11
1101,*,*,95,7
1101,17,18,103,5
1101,*,*,35,5
1101,31,51,331,60
1101,32,47,215,52
1101,28,47,305,67
1101,124,234,921,64
1101,*,15,64,*
1101,6,14,54,12
1101,14,30,180,39
1101,14,9,79,16
1101,9,8,66,14
1101,5,13,57,18
1101,11,14,68,6
1101,9,13,75,21
1101,5,11,61,10
1101,*,4,10,*
1101,*,*,12,0
1101,13,28,132,21
1101,*,*,15,5
1101,16,27,115,9
1101,9,9,63,7
1101,12,7,63,7
1101,*,6,31,*
1101,7,19,106,12
1101,11,11,57,16
1101,13,15,84,13
1101,8,10,72,9
1101,7,20,101,36
1101,13,9,67,19
1101,16,17,96,15
1101,9,8,69,19
1101,19,22,111,12
1101,8,21,100,28
1101,13,22,103,25
1101,17,16,88,13
1101,12,9,62,7
1101,7,13,66,6
1101,10,8,73,21
1101,16,21,82,14
1101,17,29,119,15
1101,13,21,84,6
1101,25,35,177,25
1101,24,27,134,14
1101,9,11,82,15
1101,23,28,127,22
1101,12,18,116,16
1101,*,*,25,11
1101,6,10,63,6
1101,8,23,79,11
1101,12,28,107,7
1101,21,25,78,13
1101,9,13,53,5
1101,33,44,251,22
1101,15,19,97,16
1101,7,12,80,13
1101,11,13,94,11
1101,12,16,91,16
1101,5,14,73,14
1101,10,21,87,14
1101,*,16,96,*
1101,4,7,57,7
1101,5,*,30,*
1101,15,13,59,7
1101,7,8,54,12
1101,24,21,163,29
1101,11,11,70,16
1101,16,15,112,16
1101,64,68,446,36
1101,19,28,131,14
1101,20,34,143,10
1101,6,9,52,12
1101,9,13,43,25
1101,14,22,110,15
1101,10,16,94,11
1101,4,9,47,12
1101,9,9,46,7
1101,6,16,76,21
1101,*,*,29,7
1101,16,19,105,16
1101,7,9,69,12
1101,*,*,42,20
1101,8,18,87,15
1101,12,15,98,17
1101,12,7,76,7
1101,10,7,102,10
1101,*,*,47,14
1101,*,*,95,10
1101,9,10,53,11
1101,17,23,206,18
1101,4,8,67,10
1101,8,19,97,12
1101,8,13,85,13
1101,14,13,101,15
1101,17,24,87,11
1101,8,14,59,13
1101,4,13,54,10
1101,6,*,32,*
1101,9,5,54,13
1101,5,6,46,12
1101,4,5,58,13
1101,10,16,94,7
1101,8,9,50,9
1101,22,25,113,21
1101,*,*,60,16
1101,*,5,16,*
1101,11,23,98,14
1101,21,31,129,15
1101,7,18,57,4
1101,19,23,164,17
1101,*,6,36,*
1101,13,24,88,0
1101,56,66,270,7
1101,*,*,49,*
1101,84,110,500,38
1101,25,29,184,24
1101,9,21,62,6
1101,40,55,211,21
1101,*,5,16,*
1101,*,*,22,0
1101,*,28,71,*
1101,33,49,204,18
1101,11,22,126,12
1101,15,11,92,10
1101,24,37,153,15
1101,15,18,125,14
1101,*,*,258,*
1101,*,*,11,*
1101,*,8,41,*
1101,17,20,118,14
1101,10,15,75,6
1101,11,19,68,4
1101,7,21,100,9
1101,6,13,74,5
1101,0,*,*,0
1101,16,15,125,10
1101,10,17,65,8
1101,*,10,35,*
1101,*,24,85,*
1101,55,105,422,42
1101,9,20,69,10
1101,70,98,601,45
1101,131,201,884,56
1101,5,*,*,5
1101,14,9,94,8
1101,*,11,32,*
1101,0,*,13,*
1101,6,11,88,4
1101,*,9,49,*
1101,65,97,290,17
1101,41,51,249,8
1101,*,11,48,*
1101,0,*,27,*
1101,*,*,21,0
1101,*,*,24,0
1101,4,5,34,0
1101,6,22,93,16
1101,5,0,34,5
1101,*,*,20,0
1101,*,*,11,0
1101,*,11,48,*
1101,*,14,38,*
1101,*,29,82,*
1101,*,23,86,*
1101,68,120,518,50
1101,19,36,130,10
1101,12,20,105,8
1101,7,14,83,10
1101,6,9,64,11
1101,*,*,15,*
1101,72,70,318,17
1101,101,189,841,44
1101,*,*,58,0
1101,*,15,59,*
1101,*,14,76,*
1101,8,28,86,9
1101,151,194,946,41
1101,*,6,26,*
1101,*,12,42,*
1101,6,*,41,*
1101,69,82,341,19
1101,22,56,168,13
1101,17,12,80,4
1101,9,9,84,4
1101,58,115,449,35
1101,4,10,49,5
1101,0,0,0,0
1101,*,18,71,*
1101,28,48,229,11
1101,4,11,42,0
1101,5,8,31,0
1101,*,8,25,*
1101,*,14,49,*
1101,*,*,32,8
1101,32,67,280,19
1101,7,9,61,11
1101,*,10,49,*
1101,0,0,0,0
1101,8,17,73,8
1101,9,17,96,10
1101,*,6,52,*
1101,18,24,111,12
1101,7,*,53,*
1101,*,*,51,0
1101,11,11,72,7
1101,*,6,32,*
1101,14,18,79,8
1101,14,28,96,15
1101,7,9,81,13
1101,8,14,100,9
1101,18,26,118,15
1101,6,16,78,16
1101,9,11,62,13
1101,20,12,120,7
1101,19,25,139,24
1101,0,0,0,0
1101,9,18,83,22
1101,16,19,104,15
1101,*,*,20,7
1101,17,15,120,22
1101,20,19,116,17
1101,7,12,113,18
1101,4,10,50,6
1101,9,16,69,13
1101,20,14,89,13
1101,16,13,135,20
1101,9,12,70,15
1101,9,11,67,12
1101,8,19,84,13
1101,16,12,93,8
1101,23,24,158,14
1101,22,26,121,17
1101,11,21,114,13
1101,20,23,114,19
1101,18,28,130,14
1101,14,26,129,17
1101,4,13,66,7
1101,15,23,126,17
1101,13,31,132,14
1101,10,*,39,*
1101,5,15,45,9
1101,15,28,158,17
1101,14,28,139,24
1101,5,17,85,14
1101,23,34,201,18
1101,9,18,115,21
1101,8,9,42,9
1101,6,7,65,17
1101,11,21,125,14
1101,16,25,123,14
1101,*,*,22,*
1101,8,16,95,14
1101,11,15,126,15
1101,21,33,148,14
1101,19,28,128,15
1101,16,19,132,16
1101,13,15,116,19
1101,15,16,115,15
1101,20,29,172,16
1101,*,17,108,*
1101,11,22,121,19
1101,17,37,145,19
1101,27,45,283,44
1101,14,28,121,12
1101,*,11,70,*
1101,82,133,640,60
1101,16,20,104,11
1101,27,32,185,17
1101,27,39,147,7
1101,12,17,114,13
1101,11,18,145,17
1101,14,29,117,16
1101,8,20,68,8
1101,49,67,272,22
1101,51,100,412,33
1101,*,12,45,*
1101,11,24,105,13
1101,7,17,46,4
1101,6,15,34,5
1101,*,*,67,12
1101,9,14,67,12
1101,7,11,81,6
1101,8,9,74,16
1101,*,8,47,*
1101,*,16,111,*
1101,11,12,88,13
1101,16,26,187,24
1101,*,13,84,*
1101,*,*,60,10
1101,5,17,72,9
1101,5,10,34,4
1101,11,19,71,10
1101,16,32,193,42
1101,36,40,277,35
1101,11,19,130,12
1101,16,15,117,17
1101,9,11,96,7
1101,*,16,69,*
1101,*,7,20,*
1101,364,441,1962,70
1101,*,9,40,*
1101,13,26,157,13
1101,*,4,23,*
1101,*,29,77,*
1101,27,23,131,12
1101,18,32,171,9
1101,54,72,258,13
1101,26,40,120,10
1101,20,34,148,10
1101,14,24,125,8
1101,12,24,132,9
1101,23,36,166,9
1101,*,28,100,*
1101,14,34,117,7
1101,15,20,125,11
1101,*,13,44,*
1101,19,21,97,8
1101,56,68,300,13
1101,16,14,74,0
1101,4,6,18,0
1101,7,5,21,0
1101,*,35,163,*
1101,21,16,52,0
1101,14,23,121,9
1101,37,39,217,27
1101,43,51,250,24
1101,32,52,251,20
1101,*,4,28,*
1101,9,19,106,14
1101,7,11,94,10
1101,9,22,108,10
1101,8,19,86,9
1101,11,20,100,16
1101,10,18,97,8
1101,8,14,90,14
1101,*,*,51,31
1101,13,19,123,12
1101,12,13,110,16
1101,14,13,116,10
1101,10,*,46,*
1101,8,12,89,8
1101,*,7,43,*
1101,*,9,44,*
1101,9,10,52,12
1101,15,37,180,17
1101,20,27,164,19
1101,12,10,79,9
1101,10,16,70,7
1101,10,16,128,12
1101,6,15,86,5
1101,6,14,56,7
1101,*,*,33,*
1101,*,5,49,*
1101,7,13,69,8
1101,0,*,51,*
1101,5,*,45,*
1101,5,11,54,5
1101,*,13,45,*
1101,5,4,42,6
1101,66,102,475,33
1101,*,4,27,*
1101,8,14,81,22
1101,7,15,77,18
1101,9,23,123,16
1101,16,19,104,12
1101,8,13,86,9
1101,15,38,141,10
1101,6,9,45,4
1101,*,*,23,5
1101,*,5,53,*
1101,7,15,42,8
1101,8,10,53,6
1101,5,12,47,5
1101,17,31,128,14
1101,22,25,154,4
1101,18,31,146,11
1101,42,70,327,25
1101,11,12,85,5
1101,13,37,144,14
1101,15,27,133,12
1101,*,*,21,0
1101,7,*,25,*
1101,*,9,55,*
1101,*,8,61,*
1101,4,5,24,0
1101,25,33,158,10
1101,13,21,145,10
1101,*,8,38,*
1101,*,*,51,0
1101,*,*,61,*
1101,7,8,57,5
1101,*,12,53,*
1101,5,19,57,5
1101,25,33,173,7
1101,*,9,40,*
1101,*,8,67,*
1101,67,115,478,16
1101,15,22,144,15
1101,37,60,250,29
1101,17,24,95,4
1101,0,0,4,0
1101,*,*,13,*
1101,*,*,58,*
1101,0,0,34,0
1101,0,0,0,0
1101,*,*,14,*
1101,4,*,26,*
1101,0,0,*,*
1101,0,0,102,0
1101,7,*,35,*
1101,*,*,20,5
1101,*,*,31,11
1101,0,0,16,0
1101,46,109,275,12
1101,13,14,103,17
1101,8,20,97,13
1101,*,4,18,*
1101,0,*,10,*
1101,4,*,32,*
1101,11,12,62,10
1101,*,10,86,*
1101,11,16,69,5
1101,17,26,104,10
1101,10,14,43,6
1101,12,22,90,7
1101,9,15,108,7
1101,7,8,61,5
1101,9,16,44,11
1101,*,15,54,*
1101,9,18,69,11
1101,13,13,64,5
1101,4,8,37,6
1101,13,16,83,7
1101,*,18,62,*
1101,14,14,76,4
1101,7,12,61,7
1101,*,7,28,*
1101,14,9,88,9
1101,*,12,33,*
1101,*,17,71,*
1101,*,28,83,*
1101,22,21,100,7
1101,*,12,48,*
1101,14,11,60,16
1101,33,46,227,31
1101,5,*,34,*
1101,*,*,21,*
1101,*,7,14,*
1101,6,19,63,11
1101,23,22,169,20
1101,11,7,47,7
1101,8,19,66,11
1101,10,13,105,13
1101,10,13,63,8
1101,35,46,169,25
1101,18,20,124,9
1101,39,49,252,28
1101,12,6,59,10
1101,10,11,72,11
1101,13,17,83,16
1101,4,8,39,9
1101,16,27,131,12
1101,20,29,101,7
1101,17,16,76,8
1101,7,14,28,0
1101,6,5,32,10
1101,*,*,16,*
1101,13,14,72,15
1101,*,*,14,*
1101,8,5,33,7
1101,161,173,574,7
1101,21,36,111,7
1101,*,*,205,5
1101,16,23,124,19
1101,0,*,*,6
1101,31,33,174,18
1101,8,14,95,17
1101,7,10,61,5
1101,*,0,*,0
1101,6,14,61,8
1101,7,4,40,6
1101,86,123,451,41
1101,0,0,0,0
1101,9,13,53,8
1101,17,24,145,19
1101,16,28,128,13
1101,*,12,47,*
1101,7,12,81,6
1101,*,*,73,10
1101,9,7,37,4
1101,12,*,51,*
1101,*,8,28,*
1101,11,16,76,7
1101,32,26,264,24
1101,*,17,77,*
1101,24,24,175,25
1101,16,16,110,15
1101,16,29,165,27
1101,*,11,57,*
1101,11,29,190,29
1101,13,8,49,14
1101,16,21,133,25
1101,74,94,462,25
1101,10,6,36,9
1101,16,34,124,19
1101,25,43,171,32
1101,13,21,121,19
1101,15,17,102,20
1101,11,16,101,18
1101,15,12,78,12
1101,12,13,97,19
1101,11,16,139,17
1101,15,20,100,14
1101,5,9,92,30
1101,*,*,31,6
1101,7,5,22,5
1101,9,9,60,14
1101,*,*,41,27
1101,7,24,86,20
1101,15,12,92,18
1101,14,20,93,24
1101,5,6,68,14
1101,6,12,100,23
1101,6,17,72,12
1101,8,16,90,7
1101,5,13,84,25
1101,11,11,81,20
1101,22,22,145,21
1101,10,15,83,16
1101,9,13,93,13
1101,9,13,51,14
1101,11,16,83,9
1101,14,21,100,12
1101,8,19,88,12
1101,4,4,29,5
1101,13,18,100,18
1101,104,74,616,155
1101,12,16,97,25
1101,20,12,93,17
1101,14,25,88,24
1101,11,20,99,19
1101,16,14,99,21
1101,8,20,126,17
1101,0,*,16,*
1101,*,*,*,*
1101,8,9,77,8
1101,102,178,711,58
1101,*,0,*,*
1101,11,7,66,19
1101,8,8,54,11
1101,*,*,76,21
1101,5,15,71,23
1101,4,5,60,7
1101,*,*,40,12
1101,10,7,39,5
1101,5,12,68,8
1101,9,12,66,18
1101,7,11,52,8
1101,5,7,51,10
1101,*,15,64,*
1101,12,15,92,13
1101,19,20,188,39
1101,*,*,28,11
1101,9,15,53,12
1101,6,6,44,19
1101,13,25,109,31
1101,8,8,47,5
1101,11,14,77,11
1101,8,28,97,27
1101,8,32,72,9
1101,0,0,0,0
1101,169,275,1187,37
1101,156,258,1020,70
1101,5,8,67,16
1101,12,26,102,6
1101,*,*,29,12
1101,7,11,76,12
1101,11,18,101,23
1101,4,13,63,16
1101,6,11,52,25
1101,*,*,67,16
1101,18,26,113,21
1101,*,7,35,*
1101,6,12,65,23
1101,*,11,47,*
1101,8,6,45,11
1101,12,13,68,12
1101,7,14,75,13
1101,9,11,92,14
1101,8,13,60,15
1101,6,5,37,13
1101,4,5,41,6
1101,4,4,20,10
1101,*,*,92,22
1101,13,26,115,17
1101,8,13,73,14
1101,7,16,87,14
1101,7,8,63,8
1101,8,6,52,14
1101,7,7,61,12
1101,11,11,72,11
1101,15,14,79,12
1101,10,16,120,11
1101,23,24,110,13
1101,10,16,90,12
1101,*,7,32,*
1101,7,17,70,11
1101,16,14,73,11
1101,12,13,50,9
1101,6,6,54,11
1101,13,15,70,17
1101,11,18,83,15
1101,8,18,45,9
1101,8,5,46,14
1101,14,17,62,17
1101,*,*,46,14
1101,0,*,51,*
1101,97,86,538,15
1101,4,5,21,0
1101,*,10,57,*
1101,26,20,147,18
1101,19,21,136,28
1101,24,22,132,21
1101,18,21,83,7
1101,13,20,79,14
1101,13,14,94,15
1101,4,4,31,12
1101,51,38,174,18
1101,*,8,57,*
1101,39,89,407,48
1101,23,46,188,15
1101,7,12,55,8
1101,9,18,77,8
1101,19,25,100,15
1101,15,30,107,6
1101,*,53,149,*
1101,12,20,97,18
1101,16,32,153,28
1101,20,35,157,21
1101,21,23,165,20
1101,19,32,171,16
1101,18,22,126,19
1101,14,19,85,22
1101,15,14,89,14
1101,9,*,61,*
1101,9,10,89,10
1101,*,*,64,13
1101,21,32,168,20
1101,12,13,90,13
1101,121,157,745,46
1101,16,20,109,19
1101,13,24,137,15
1101,13,27,148,21
1101,12,21,120,29
1101,23,32,140,19
1101,21,17,155,26
1101,18,9,100,26
1101,20,26,128,16
1101,12,14,102,34
1101,*,5,17,*
1101,11,13,103,18
1101,30,34,159,12
1101,33,45,203,28
1101,10,11,105,29
1101,20,30,118,21
1101,24,25,172,8
1101,20,14,109,18
1101,14,21,112,15
1101,14,15,85,11
1101,*,6,*,0
1101,21,30,152,11
1101,10,23,82,15
1101,10,19,93,17
1101,26,28,130,12
1101,18,17,118,14
1101,26,19,99,13
1101,13,21,112,22
1101,20,19,122,22
1101,19,31,118,24
1101,27,31,190,14
1101,30,42,257,20
1101,10,11,90,18
1101,22,30,163,30
1101,10,15,82,7
1101,9,15,117,15
1101,14,19,116,19
1101,6,19,55,10
1101,*,11,*,8
1101,10,13,85,12
1101,8,7,56,12
1101,7,10,62,17
1101,6,11,75,13
